dataset,build,leaf_id,leaf_n,leaf_depth,k,degenerate,eligible,trust_leaf,trust_root,cont_leaf,cont_root,delta_trust,delta_cont
Digits (Low),1,13,87,1,20,False,True,0.913589665344319,0.8972637575017799,0.9199979656189602,0.9183908045977011,0.016325907842539067,0.0016071610212591292
Digits (Low),1,14,106,1,20,False,True,0.8606272647757092,0.8635386729976258,0.9129951268274398,0.9151130825940271,-0.0029114082219166004,-0.002117955766587354
Digits (Low),2,0,100,1,20,False,True,0.8219568345323742,0.8036402877697841,0.8395899280575541,0.8485251798561153,0.01831654676259009,-0.00893525179856125
Digits (Low),2,1,106,1,20,False,True,0.8679182806447583,0.8677745845308009,0.910289891290766,0.9209858802948895,0.00014369611395737003,-0.010695989004123496
Digits (Low),2,2,37,2,18,False,False,0.8631262841789158,0.8337284653074125,0.8997945313734788,0.879089615931721,0.02939781887150328,0.020704915441757787
Digits (Low),2,3,37,2,18,False,False,0.7613402876560771,0.7502765923818556,0.7531215425952268,0.7931088983720561,0.011063695274221463,-0.039987355776829325
Digits (Low),2,4,87,1,20,False,True,0.9045773573390297,0.9046892482962059,0.9187569931848235,0.9253992472790152,-0.00011189095717623054,-0.006642254094191724
Digits (Low),2,5,63,2,20,False,True,0.8315750915750915,0.8520390720390719,0.8459096459096458,0.8588034188034188,-0.020463980463980458,-0.012893772893773026
Digits (Low),2,6,38,2,18,False,False,0.8500417710944027,0.8291562238930658,0.8539404065719857,0.8465608465608464,0.02088554720133695,0.007379560011139263
Digits (Low),2,7,53,1,20,False,True,0.9082599580712788,0.9027253668763102,0.9266247379454925,0.919077568134172,0.0055345911949685744,0.007547169811320531
Digits (Low),2,8,55,2,20,False,True,0.8264935064935065,0.8219666048237478,0.8489424860853432,0.8567346938775511,0.004526901669758665,-0.007792207792207906
Digits (Low),2,9,86,2,20,False,True,0.8921433060967945,0.8577100356170121,0.8764299182903834,0.859742300439975,0.034433270479782396,0.0166876178504084
Digits (Low),2,10,31,2,15,False,False,0.7712365591397847,0.781989247311828,0.7997311827956989,0.799731182795699,-0.010752688172043223,-1.1102230246251565e-16
Digits (Low),2,11,26,2,12,False,False,0.729059829059829,0.7423076923076923,0.7414529914529915,0.7038461538461538,-0.013247863247863312,0.037606837606837695
Digits (Low),2,12,86,1,20,False,True,0.8227110831761995,0.7927404148334382,0.8321495914519171,0.8335428451707523,0.029970668342761297,-0.0013932537188351413
Digits (Low),2,13,35,2,17,False,False,0.7871148459383754,0.7777777777777779,0.7759103641456584,0.773482726423903,0.00933706816059754,0.00242763772175536
Digits (Low),2,14,60,2,20,False,True,0.8007344632768361,0.7853389830508474,0.8222881355932204,0.8290395480225988,0.01539548022598869,-0.006751412429378378
Digits (Low),3,0,60,2,20,False,True,0.8337288135593219,0.7785028248587571,0.8537570621468925,0.8090677966101695,0.05522598870056483,0.04468926553672303
Digits (Low),3,1,26,2,12,False,False,0.7991452991452992,0.6551282051282052,0.8064102564102563,0.6914529914529913,0.14401709401709395,0.11495726495726499
Digits (Low),3,2,30,2,14,False,False,0.835014005602241,0.750700280112045,0.8344537815126052,0.7820728291316529,0.084313725490196,0.052380952380952306
Digits (Low),3,3,35,2,17,False,False,0.8623716153127917,0.8302521008403362,0.895985060690943,0.8752567693744164,0.032119514472455535,0.020728291316526537
Digits (Low),3,4,84,1,20,False,True,0.9183355585224743,0.9023475745438361,0.9207498887405431,0.9240209167779261,0.01598798397863821,-0.0032710280373829947
