dataset,build,leaf_id,leaf_n,leaf_depth,k,degenerate,eligible,trust_leaf,trust_root,cont_leaf,cont_root,delta_trust,delta_cont
Digits (Low),3,5,28,2,13,False,False,0.7754120879120878,0.7953296703296703,0.8090659340659341,0.801510989010989,-0.019917582417582458,0.007554945054945028
Digits (Low),3,6,40,2,19,False,False,0.7766746411483254,0.7233253588516746,0.8851674641148326,0.8568181818181818,0.05334928229665081,0.02834928229665079
Digits (Low),3,7,27,2,13,False,False,0.7794057794057794,0.715913715913716,0.7859177859177859,0.6902726902726903,0.06349206349206338,0.0956450956450956
Digits (Low),3,8,25,2,12,False,False,0.8266666666666667,0.7528205128205129,0.8076923076923077,0.7651282051282052,0.07384615384615378,0.04256410256410248
Digits (Low),3,9,33,3,16,False,False,0.7611408199643493,0.7406417112299466,0.7531194295900178,0.7401960784313726,0.02049910873440275,0.01292335115864518
Digits (Low),3,10,57,3,20,False,True,0.830056272757365,0.7823568354849388,0.8180734856007945,0.8170142336974512,0.047699437272426204,0.0010592519033433279
Digits (Low),3,11,77,2,20,False,True,0.8391146487920681,0.7794302471721828,0.8345203183912863,0.8420332355816224,0.05968440161988531,-0.007512917190336088
Digits (Low),3,12,67,1,20,False,True,0.8369863013698631,0.8325700265794316,0.8455326109180127,0.8485381312615007,0.004416274790431496,-0.0030055203434879996
Digits (Low),3,13,39,1,19,False,False,0.848582995951417,0.8338731443994601,0.8327935222672065,0.8688259109311739,0.01470985155195681,-0.03603238866396741
Digits (Low),3,14,54,1,20,False,True,0.913002364066194,0.90973207249803,0.9308116627265565,0.916509062253743,0.003270291568163941,0.01430260047281351
Digits (Low),3,15,56,2,20,False,True,0.8435924369747898,0.8105742296918768,0.8249649859943978,0.8467436974789916,0.03301820728291305,-0.02177871148459376
Digits (Low),3,16,87,2,20,False,True,0.8866748041908248,0.8236598514901842,0.8777947309531074,0.8271081273522529,0.06301495270064061,0.05068660360085453
