dataset,build,leaf_id,leaf_n,leaf_depth,method,t,length,f1,precision,recall,coverage,clauses_json
Wine quality (Low),0,4,31,2,db,0.95,6,0.8518518518518519,1.0,0.7419354838709677,0.023,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.3713578535425633, ""sel_max"": 0.8870488387199071, ""in_predicate"": false, ""step"": null}, {""feature"": ""volatile acidity"", ""sel_min"": -1.1000689272672954, ""sel_max"": 0.27626178618537167, ""in_predicate"": false, ""step"": null}, {""feature"": ""citric acid"", ""sel_min"": -0.6128284430689046, ""sel_max"": 0.9279353897969208, ""in_predicate"": true, ""step"": 5}, {""feature"": ""residual sugar"", ""sel_min"": 1.3602074320215103, ""sel_max"": 2.539454451859995, ""in_predicate"": true, ""step"": 0}, {""feature"": ""chlorides"", ""sel_min"": -0.5876681948253898, ""sel_max"": 0.4988071145382878, ""in_predicate"": true, ""step"": 4}, {""feature"": ""free sulfur dioxide"", ""sel_min"": -0.6965806240767353, ""sel_max"": 1.4319303547447724, ""in_predicate"": true, ""step"": 2}, {""feature"": ""total sulfur dioxide"", ""sel_min"": 0.5360122986243074, ""sel_max"": 2.3317143438390797, ""in_predicate"": true, ""step"": 3}, {""feature"": ""density"", ""sel_min"": 0.6028983054388786, ""sel_max"": 1.8142744084786973, ""in_predicate"": false, ""step"": null}, {""feature"": ""pH"", ""sel_min"": -2.037505070622934, ""sel_max"": -0.5902113846538606, ""in_predicate"": true, ""step"": 1}, {""feature"": ""sulphates"", ""sel_min"": -1.20866545104891, ""sel_max"": 0.4558337859073848, ""in_predicate"": false, ""step"": null}, {""feature"": ""alcohol"", ""sel_min"": -1.4747734218392219, ""sel_max"": -0.16035967722124223, ""in_predicate"": false, ""step"": null}]"
Wine quality (Low),0,4,31,2,db,0.9,5,0.7924528301886793,0.9545454545454546,0.6774193548387096,0.022,
Wine quality (Low),0,4,31,2,db,0.8,5,0.7407407407407407,0.8695652173913043,0.6451612903225806,0.023,
Wine quality (Low),0,5,46,2,threshold,1.0,11,0.7666666666666667,0.6216216216216216,1.0,0.074,
Wine quality (Low),0,5,46,2,threshold,0.95,11,0.6341463414634146,0.7222222222222222,0.5652173913043478,0.036,
Wine quality (Low),0,5,46,2,threshold,0.9,11,0.5428571428571429,0.7916666666666666,0.41304347826086957,0.024,
Wine quality (Low),0,5,46,2,threshold,0.8,11,0.22641509433962262,0.8571428571428571,0.13043478260869565,0.007,
Wine quality (Low),0,5,46,2,db,1.0,10,0.7666666666666667,0.6216216216216216,1.0,0.074,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.8643419185526036, ""sel_max"": 0.8963154564832541, ""in_predicate"": false, ""step"": null}, {""feature"": ""volatile acidity"", ""sel_min"": -1.0005045777834856, ""sel_max"": 1.8692913779263316, ""in_predicate"": true, ""step"": 7}, {""feature"": ""citric acid"", ""sel_min"": -0.11789303526667018, ""sel_max"": 4.474490085861276, ""in_predicate"": true, ""step"": 1}, {""feature"": ""residual sugar"", ""sel_min"": 0.5684753080971559, ""sel_max"": 2.963977834659245, ""in_predicate"": true, ""step"": 0}, {""feature"": ""chlorides"", ""sel_min"": -0.6418261705719007, ""sel_max"": 0.5225703079780836, ""in_predicate"": true, ""step"": 8}, {""feature"": ""free sulfur dioxide"", ""sel_min"": -0.24740922258446255, ""sel_max"": 2.840644162674913, ""in_predicate"": true, ""step"": 5}, {""feature"": ""total sulfur dioxide"", ""sel_min"": 0.254823739170761, ""sel_max"": 2.276952812362098, ""in_predicate"": true, ""step"": 4}, {""feature"": ""density"", ""sel_min"": 0.6289690465760185, ""sel_max"": 1.9758591279255897, ""in_predicate"": true, ""step"": 2}, {""feature"": ""pH"", ""sel_min"": -1.917992792673382, ""sel_max"": 0.9503018781158612, ""in_predicate"": true, ""step"": 6}, {""feature"": ""sulphates"", ""sel_min"": -0.7591083921786632, ""sel_max"": 1.8073502603590772, ""in_predicate"": true, ""step"": 3}, {""feature"": ""alcohol"", ""sel_min"": -1.6404255649965556, ""sel_max"": -0.06673020500187897, ""in_predicate"": true, ""step"": 9}]"
Wine quality (Low),0,5,46,2,db,0.95,5,0.723404255319149,0.7083333333333334,0.7391304347826086,0.048,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.582636738546866, ""sel_max"": 0.8850472492830248, ""in_predicate"": false, ""step"": null}, {""feature"": ""volatile acidity"", ""sel_min"": -1.0005045777834856, ""sel_max"": 0.6955555892936605, ""in_predicate"": false, ""step"": null}, {""feature"": ""citric acid"", ""sel_min"": 0.06345923696562761, ""sel_max"": 2.884494582801365, ""in_predicate"": true, ""step"": 1}, {""feature"": ""residual sugar"", ""sel_min"": 0.610384198243932, ""sel_max"": 2.7293723493289743, ""in_predicate"": true, ""step"": 0}, {""feature"": ""chlorides"", ""sel_min"": -0.5886915286694373, ""sel_max"": 0.268468642702303, ""in_predicate"": false, ""step"": null}, {""feature"": ""free sulfur dioxide"", ""sel_min"": 0.5947871552135489, ""sel_max"": 2.2546796525463564, ""in_predicate"": true, ""step"": 2}, {""feature"": ""total sulfur dioxide"", ""sel_min"": 0.254823739170761, ""sel_max"": 2.2127693526289938, ""in_predicate"": false, ""step"": null}, {""feature"": ""density"", ""sel_min"": 0.6356929744040064, ""sel_max"": 1.940782111627322, ""in_predicate"": true, ""step"": 3}, {""feature"": ""pH"", ""sel_min"": -1.8974516199008025, ""sel_max"": 0.8905457391410866, ""in_predicate"": true, ""step"": 4}, {""feature"": ""sulphates"", ""sel_min"": -0.7591083921786632, ""sel_max"": 1.7892201613115548, ""in_predicate"": false, ""step"": null}, {""feature"": ""alcohol"", ""sel_min"": -1.5913838120881343, ""sel_max"": -0.14955627658054585, ""in_predicate"": false, ""step"": null}]"
Wine quality (Low),0,5,46,2,db,0.9,4,0.6966292134831461,0.7209302325581395,0.6739130434782609,0.043,
