dataset,build,node_id,depth,is_leaf,n_points,k,trustworthiness,continuity,mrre_false,mrre_missing,stress,cadi
Breast cancer (Low),0,6,2,False,150,20,0.8624156206415622,0.880362622036262,0.8765207352005556,0.8997762867283305,0.47209992101963255,0.022601677194669018
Breast cancer (Low),0,7,3,True,44,20,0.7728956228956229,0.7787037037037038,0.8191641956439933,0.8382436016818108,0.38226031168007196,
Breast cancer (Low),0,8,3,True,27,13,0.754985754985755,0.7802197802197802,0.7615602107256995,0.8037258315884792,0.5243643210279715,
Breast cancer (Low),0,9,1,False,119,20,0.8353653325737074,0.8588330247353179,0.8557226411424836,0.8883065453312843,0.6708260239787602,0.02318368904483911
Breast cancer (Low),0,10,2,True,28,13,0.8358516483516484,0.8550824175824175,0.8289033669041272,0.8595768554810539,0.5738570549395515,
Breast cancer (Low),0,11,2,True,37,18,0.8071755966492807,0.8473210052157422,0.8305744137290931,0.8597817678515037,0.7779134044958771,
Breast cancer (Low),0,12,1,True,57,20,0.8067527308838134,0.8274412446209864,0.8188662324197881,0.837216947060276,0.668202643039184,
Breast cancer (Low),1,0,0,False,569,20,0.9116706075099583,0.9284928681343247,0.9219824718102,0.9450410608802365,0.5422666845251172,0.015791588249205953
Breast cancer (Low),1,1,1,False,380,20,0.881366990437467,0.8878736540923123,0.9025714398372121,0.9159016202050755,0.5564766244202958,0.030223827825767026
Breast cancer (Low),1,2,2,True,42,20,0.7007246376811594,0.7059006211180124,0.7922080106484776,0.8238786685143138,0.5747662663902178,
Breast cancer (Low),1,3,2,False,241,20,0.8892106326568829,0.9006761218596309,0.9130639456077368,0.925362881613624,0.467201529384743,0.015537425921629428
Breast cancer (Low),1,4,3,True,25,12,0.8097435897435896,0.8282051282051281,0.7742238678874231,0.7910015490693492,0.34129296063134446,
Breast cancer (Low),1,5,3,True,26,12,0.7128205128205126,0.6880341880341879,0.7567952693398678,0.7294343800347286,0.4922880322705318,
Breast cancer (Low),1,6,1,False,117,20,0.858653228595425,0.8833555654364903,0.8737316458956597,0.8990750088219317,0.6700469073509268,0.02690399794667701
Breast cancer (Low),1,7,2,True,29,14,0.8013136288998358,0.8174055829228244,0.7823024414065145,0.8184174255700769,0.7458619961386215,
Breast cancer (Low),1,8,2,False,61,20,0.8385917764041925,0.8500134372480516,0.8438623711273006,0.8713472613776462,0.5350470827639148,0.024765564764499228
Breast cancer (Low),1,9,3,True,25,12,0.6902564102564103,0.7384615384615385,0.7199185624840098,0.768642788681229,0.6631128435487822,
Breast cancer (Low),1,10,3,True,27,13,0.798941798941799,0.754985754985755,0.7951849476884818,0.8133752029848523,0.5342723639630856,
Breast cancer (Low),1,11,1,True,59,20,0.8021112102289623,0.8191793041926851,0.8369661804601507,0.8385718846548742,0.6647967268430559,
Breast cancer (Low),2,0,0,False,569,20,0.912739938610963,0.9336890699120286,0.9224487350796525,0.9482061242804316,0.5402047202910274,0.0150771484533902
