build_seconds,dbcv_leaf,dbcv_status,dbcv_leaf_noisefree,tnc_mean,n_scored_nodes,scored_coverage,zero_embed_nodes,n_leaves,median_leaf_size,min_leaf_size,noise_frac,preclustering_skipped,n_rows,n_features,ari,ami,ari_depth1,exception,degenerate,dataset,arm,trial,p_hierarchical_layers,p_hclust_umap_n_components,p_hclust_min_cluster_size,p_hclust_min_samples,p_umap_n_neighbors,p_umap_min_dist,p_method,p_tsne_perplexity,p_tsne_learning_rate
92.84359669685364,-0.2703869997387511,ok,-0.5284181292362435,0.9579817978310561,9.0,1.0,0.0,5.0,389.0,251.0,0.446052024011082,False,6497.0,11.0,0.5753318653037327,0.6161815171820342,0.9685123906855376,,False,Wine quality (Low),trial,23,3,6,170,23,38,0.4407807676271433,UMAP,,
33.42349982261658,-0.3401418466303567,ok,-0.5162420335188453,0.9114671232925067,20.0,1.0,0.0,17.0,116.0,37.0,0.355856549176543,False,6497.0,11.0,0.2665154313697537,0.39887765166580863,0.8869897127996036,,False,Wine quality (Low),trial,24,2,3,35,12,22,0.29818767230778764,PCA,,
92.6263165473938,-0.4062299216859493,ok,-0.5291585855924725,0.9593223130415157,9.0,1.0,0.0,5.0,498.0,227.0,0.33661690010774203,False,6497.0,11.0,0.543076649524545,0.607144667928675,0.9601758646889669,,False,Wine quality (Low),trial,25,3,6,225,34,30,0.21774582834198752,UMAP,,
81.32677412033081,-0.2727361789728,ok,-0.5605243860063158,0.9478652772453434,7.0,1.0,0.0,4.0,585.0,339.0,0.5670309373557026,False,6497.0,11.0,0.6086766913566856,0.6780898995761487,0.9662113125837867,,True,Wine quality (Low),trial,26,3,3,149,66,36,0.2887957332693476,UMAP,,
26.78969717025757,-0.40971130068329753,ok,-0.550677045630662,0.9034477233675814,5.0,1.0,0.0,3.0,1415.0,421.0,0.32692011697706636,False,6497.0,11.0,0.7505120308872875,0.7584322740441166,0.968827981802362,,False,Wine quality (Low),trial,27,2,4,348,90,5,0.4361604550111634,PCA,,
180.1393904685974,,,,,,,,,,,,,,,,,,timeout,True,Wine quality (Low),trial,28,3,2,121,14,38,0.3677192425892648,t-SNE,49.432581863151,966.8331206615504
71.71399521827698,-0.6345246311200381,ok,-0.6354048286662897,0.9636187063199957,3.0,1.0,0.0,2.0,3244.0,1620.0,0.0013852547329536709,False,6497.0,11.0,0.9601758646889669,0.9084462443219764,0.9601758646889669,,False,Wine quality (Low),trial,29,3,6,467,278,33,0.12007149479440896,UMAP,,
81.83465194702148,-0.3328853967551984,ok,-0.5163490545708334,0.9565437243932922,7.0,1.0,0.0,4.0,764.5,485.0,0.3664768354625212,False,6497.0,11.0,0.5643603893912743,0.6437544696167627,0.9627451326440611,,False,Wine quality (Low),trial,30,3,6,291,64,27,0.21899066410152196,UMAP,,
57.081302642822266,-0.6049276297166063,ok,-0.6202990546510085,0.9679855827879846,3.0,1.0,0.0,2.0,3168.0,1611.0,0.02478066800061567,False,6497.0,11.0,0.9640500722659741,0.9161332068674278,0.9640500722659741,,False,Wine quality (Low),trial,31,3,3,965,832,13,0.07058660295647845,UMAP,,
76.81338596343994,-0.2097129585956054,ok,-0.4594526176555606,0.9140581484226062,31.0,1.0,0.0,24.0,85.0,41.0,0.5391719255040788,False,6497.0,11.0,0.0708932888935885,0.2777300973211349,0.8521544372113952,,True,Wine quality (Low),trial,32,3,3,40,34,9,0.08024308893683779,UMAP,,
