arm,method,split,delta,metric,t,n_pairs,median_delta,win_rate,wilcoxon_p,rank_biserial,median_value,median_strict,median_f1,f1_ratio,median_coverage,primary,p_holm
synth-bimodal-tight,db,symmetric,0.1,f1_sd,0.8,80,-0.026239490921154754,0.975,4.215965322547631e-14,0.95,0.023171881244009342,0.05070071984017827,0.7281223449447747,0.7645284621920134,0.22291666666666665,False,8.431930645095263e-14
synth-bimodal-tight,db,symmetric,0.2,jaccard_admitted,0.95,80,-0.1599253084205119,0.0,7.849526548031477e-15,-1.0,0.45652735804588246,0.6095638322266518,0.833391304347826,0.8750608695652174,0.22916666666666666,False,2.3548579644094432e-14
synth-bimodal-tight,db,symmetric,0.2,jaccard_admitted,0.9,80,-0.15533419826378989,0.0,7.849526548031477e-15,-1.0,0.45410664494537256,0.6095638322266518,0.7964601769911505,0.836283185840708,0.2125,False,2.3548579644094432e-14
synth-bimodal-tight,db,symmetric,0.2,jaccard_admitted,0.8,80,-0.11433027656490638,0.0375,1.381681041653217e-14,-0.925,0.5024039097852024,0.6095638322266518,0.7281223449447747,0.7645284621920134,0.22291666666666665,False,2.3548579644094432e-14
synth-bimodal-tight,db,symmetric,0.2,f1_sd,0.95,80,0.012770261134918744,0.075,7.046339081038934e-14,-0.85,0.05126288938652301,0.037933558858414256,0.833391304347826,0.8750608695652174,0.22916666666666666,False,2.11390172431168e-13
synth-bimodal-tight,db,symmetric,0.2,f1_sd,0.9,80,0.009169085802544202,0.125,4.797251520782228e-12,-0.75,0.050000142319572144,0.037933558858414256,0.7964601769911505,0.836283185840708,0.2125,False,9.594503041564457e-12
synth-bimodal-tight,db,symmetric,0.2,f1_sd,0.8,80,0.0027597358200864668,0.425,0.06074482373157847,-0.15,0.04076853069667749,0.037933558858414256,0.7281223449447747,0.7645284621920134,0.22291666666666665,False,0.06074482373157847
synth-bimodal-tight,threshold,severity,0.05,jaccard_admitted,0.95,80,-0.01445652055600416,0.425,0.014829599754413178,-0.15,0.7027371010844206,0.718824372269887,0.2608695652173913,0.2739130434782609,0.041666666666666664,False,0.014829599754413178
synth-bimodal-tight,threshold,severity,0.05,jaccard_admitted,0.9,80,-0.10877227763456382,0.2,2.868086260454968e-08,-0.6,0.625438596491228,0.718824372269887,0.06451612903225806,0.06774193548387097,0.008333333333333333,False,5.736172520909936e-08
synth-bimodal-tight,threshold,severity,0.05,jaccard_admitted,0.8,80,0.2607849367706128,0.825,5.100263635105238e-10,0.65,1.0,0.718824372269887,0.0,0.0,0.0,False,1.5300790905315713e-09
synth-bimodal-tight,threshold,severity,0.05,f1_sd,0.95,80,-0.025360430986200194,0.9875,8.466682565197588e-15,0.975,0.029138200023263325,0.05737074820376474,0.2608695652173913,0.2739130434782609,0.041666666666666664,False,2.3548579644094432e-14
synth-bimodal-tight,threshold,severity,0.05,f1_sd,0.9,80,-0.033646183839237356,0.9875,8.152358880315248e-15,0.975,0.023155448058328913,0.05737074820376474,0.06451612903225806,0.06774193548387097,0.008333333333333333,False,2.3548579644094432e-14
synth-bimodal-tight,threshold,severity,0.05,f1_sd,0.8,80,-0.052854920184199364,1.0,7.849526548031477e-15,1.0,0.0,0.05737074820376474,0.0,0.0,0.0,False,2.3548579644094432e-14
synth-bimodal-tight,threshold,severity,0.1,jaccard_admitted,0.95,80,-0.09294243697149096,0.05,3.0232884225620655e-14,-0.9,0.5737823245972453,0.6682764822932263,0.2608695652173913,0.2739130434782609,0.041666666666666664,True,9.069865267686197e-14
synth-bimodal-tight,threshold,severity,0.1,jaccard_admitted,0.9,80,-0.12155763711059464,0.125,5.1644185767171775e-11,-0.75,0.5527631578947368,0.6682764822932263,0.06451612903225806,0.06774193548387097,0.008333333333333333,True,1.0328837153434355e-10
synth-bimodal-tight,threshold,severity,0.1,jaccard_admitted,0.8,80,0.24548959423352745,0.725,8.394421367900994e-09,0.45,0.9,0.6682764822932263,0.0,0.0,0.0,True,8.394421367900994e-09
synth-bimodal-tight,threshold,severity,0.1,f1_sd,0.95,80,-0.015873817278468615,0.9,1.509910709731591e-13,0.8,0.03649852875126302,0.05070071984017827,0.2608695652173913,0.2739130434782609,0.041666666666666664,False,1.509910709731591e-13
synth-bimodal-tight,threshold,severity,0.1,f1_sd,0.9,80,-0.02354034983167161,0.9625,1.1449828359123388e-14,0.925,0.027436793949505017,0.05070071984017827,0.06451612903225806,0.06774193548387097,0.008333333333333333,False,2.3548579644094432e-14
synth-bimodal-tight,threshold,severity,0.1,f1_sd,0.8,80,-0.0437725603874905,1.0,7.849526548031477e-15,1.0,0.007331370418032098,0.05070071984017827,0.0,0.0,0.0,False,2.3548579644094432e-14
