track,dataset,dr_method,cluster_method,objective,sampler,trial,value,best_so_far
A,Wine quality (Low),t-SNE,KMeans,dbcv,TPE,6,-0.44476552715370804,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,TPE,7,-0.5269288455519585,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,TPE,8,-0.550790990260346,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,TPE,9,-0.5428279762877608,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,Random,0,-0.39860500010725697,-0.39860500010725697
A,Wine quality (Low),t-SNE,KMeans,dbcv,Random,1,-0.5865799140603232,-0.39860500010725697
A,Wine quality (Low),t-SNE,KMeans,dbcv,Random,2,-0.36309433284249626,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,Random,3,-0.40928980364624906,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,Random,4,-0.5170644255704493,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,Random,5,-0.46314039422698866,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,Random,6,-0.44476552715370804,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,Random,7,-0.5269288455519585,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,Random,8,-0.550790990260346,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,Random,9,-0.5428279762877608,-0.36309433284249626
A,Wine quality (Low),t-SNE,GMM,dbcv,TPE,0,-0.40989801972529716,-0.40989801972529716
A,Wine quality (Low),t-SNE,GMM,dbcv,TPE,1,-0.5982017392879769,-0.40989801972529716
A,Wine quality (Low),t-SNE,GMM,dbcv,TPE,2,-0.38635374550796553,-0.38635374550796553
A,Wine quality (Low),t-SNE,GMM,dbcv,TPE,3,-0.37068721797714804,-0.37068721797714804
A,Wine quality (Low),t-SNE,GMM,dbcv,TPE,4,-0.5459793258783916,-0.37068721797714804
A,Wine quality (Low),t-SNE,GMM,dbcv,TPE,5,-0.44195539368140446,-0.37068721797714804
A,Wine quality (Low),t-SNE,GMM,dbcv,TPE,6,-0.45264813491116573,-0.37068721797714804
A,Wine quality (Low),t-SNE,GMM,dbcv,TPE,7,-0.49722934368517346,-0.37068721797714804
A,Wine quality (Low),t-SNE,GMM,dbcv,TPE,8,-0.5374013698221944,-0.37068721797714804
A,Wine quality (Low),t-SNE,GMM,dbcv,TPE,9,-0.40964249476614306,-0.37068721797714804
A,Wine quality (Low),t-SNE,GMM,dbcv,Random,0,-0.40989801972529716,-0.40989801972529716
A,Wine quality (Low),t-SNE,GMM,dbcv,Random,1,-0.5982017392879769,-0.40989801972529716
A,Wine quality (Low),t-SNE,GMM,dbcv,Random,2,-0.38635374550796553,-0.38635374550796553
A,Wine quality (Low),t-SNE,GMM,dbcv,Random,3,-0.37068721797714804,-0.37068721797714804
A,Wine quality (Low),t-SNE,GMM,dbcv,Random,4,-0.5459793258783916,-0.37068721797714804
A,Wine quality (Low),t-SNE,GMM,dbcv,Random,5,-0.44195539368140446,-0.37068721797714804
A,Wine quality (Low),t-SNE,GMM,dbcv,Random,6,-0.45264813491116573,-0.37068721797714804
A,Wine quality (Low),t-SNE,GMM,dbcv,Random,7,-0.49722934368517346,-0.37068721797714804
A,Wine quality (Low),t-SNE,GMM,dbcv,Random,8,-0.5374013698221944,-0.37068721797714804
