rho,nesting,seed,region,local,global
8,non_nested,7,2,0.998125,0.9983333333333333
8,non_nested,8,0,1.0,1.0
8,non_nested,8,1,1.0,1.0
8,non_nested,8,2,1.0,1.0
8,non_nested,9,0,1.0,1.0
8,non_nested,9,1,1.0,1.0
8,non_nested,9,2,1.0,1.0
8,non_nested,10,0,0.7945833333333333,0.8166666666666667
8,non_nested,10,1,0.9897916666666666,0.9889583333333334
8,non_nested,10,2,0.8416666666666667,0.83375
8,non_nested,11,0,1.0,1.0
8,non_nested,11,1,1.0,1.0
8,non_nested,11,2,1.0,1.0
8,non_nested,12,0,1.0,1.0
8,non_nested,12,1,1.0,1.0
8,non_nested,12,2,1.0,1.0
8,non_nested,13,0,1.0,1.0
8,non_nested,13,1,0.9954166666666666,0.995
8,non_nested,13,2,1.0,1.0
8,non_nested,14,0,1.0,1.0
8,non_nested,14,1,1.0,1.0
8,non_nested,14,2,0.9941666666666666,0.9954166666666666
8,non_nested,15,0,0.7652083333333334,0.7575
8,non_nested,15,1,1.0,1.0
8,non_nested,15,2,0.9552083333333333,0.9585416666666666
8,non_nested,16,0,1.0,0.9979166666666667
8,non_nested,16,1,1.0,1.0
8,non_nested,16,2,1.0,1.0
8,non_nested,17,0,0.82375,0.838125
8,non_nested,17,1,0.9679166666666666,0.9775
8,non_nested,17,2,0.810625,0.7964583333333334
8,non_nested,18,0,1.0,1.0
8,non_nested,18,1,1.0,1.0
8,non_nested,18,2,1.0,1.0
8,non_nested,19,0,1.0,1.0
8,non_nested,19,1,1.0,1.0
8,non_nested,19,2,0.9952083333333334,0.999375
16,nested,0,0,0.5383333333333333,0.5291666666666667
16,nested,0,1,0.48125,0.47333333333333333
16,nested,0,2,0.565,0.5691666666666667
16,nested,1,0,0.9954166666666666,0.9933333333333333
16,nested,1,1,1.0,1.0
16,nested,1,2,0.995,0.9979166666666667
16,nested,2,0,0.4535416666666667,0.4554166666666667
16,nested,2,1,0.4825,0.46375
16,nested,2,2,0.39791666666666664,0.395
16,nested,3,0,0.6095833333333334,0.6091666666666666
16,nested,3,1,0.5708333333333333,0.5677083333333334
16,nested,3,2,0.5695833333333333,0.56875
16,nested,4,0,0.701875,0.68875
16,nested,4,1,0.750625,0.780625
16,nested,4,2,0.809375,0.7958333333333333
16,nested,5,0,0.5179166666666667,0.5254166666666666
16,nested,5,1,0.5172916666666667,0.5158333333333334
16,nested,5,2,0.565,0.569375
16,nested,6,0,0.6252083333333334,0.6152083333333334
16,nested,6,1,0.5514583333333334,0.5372916666666666
16,nested,6,2,0.43020833333333336,0.40479166666666666
16,nested,7,0,0.5389583333333333,0.528125
16,nested,7,1,0.5472916666666666,0.5527083333333334
16,nested,7,2,0.5939583333333334,0.5941666666666666
16,nested,8,0,0.7833333333333333,0.7814583333333334
16,nested,8,1,0.7316666666666667,0.7322916666666667
16,nested,8,2,0.71625,0.7189583333333334
16,nested,9,0,0.7364583333333333,0.743125
16,nested,9,1,0.7464583333333333,0.765
16,nested,9,2,0.7139583333333334,0.6791666666666667
16,nested,10,0,0.47583333333333333,0.518125
16,nested,10,1,0.5416666666666666,0.5041666666666667
16,nested,10,2,0.5445833333333333,0.5522916666666666
16,nested,11,0,0.65375,0.64375
16,nested,11,1,0.6125,0.6
16,nested,11,2,0.7560416666666666,0.7504166666666666
16,nested,12,0,0.8114583333333333,0.8066666666666666
16,nested,12,1,0.6825,0.6954166666666667
16,nested,12,2,0.7308333333333333,0.7229166666666667
16,nested,13,0,0.7139583333333334,0.7014583333333333
16,nested,13,1,0.6952083333333333,0.6825
16,nested,13,2,0.7383333333333333,0.7395833333333334
16,nested,14,0,0.6497916666666667,0.6591666666666667
16,nested,14,1,0.595,0.5870833333333333
16,nested,14,2,0.6302083333333334,0.6041666666666666
16,nested,15,0,0.4639583333333333,0.4560416666666667
16,nested,15,1,0.4795833333333333,0.495625
16,nested,15,2,0.5460416666666666,0.5364583333333334
16,nested,16,0,0.96625,0.969375
16,nested,16,1,0.9866666666666667,0.9820833333333333
16,nested,16,2,0.895,0.90125
16,nested,17,0,0.6639583333333333,0.62625
16,nested,17,1,0.655,0.656875
16,nested,17,2,0.6425,0.634375
16,nested,18,0,0.84125,0.8375
16,nested,18,1,0.7997916666666667,0.79625
16,nested,18,2,0.95625,0.9554166666666667
16,nested,19,0,0.7675,0.7458333333333333
16,nested,19,1,0.7754166666666666,0.7683333333333333
16,nested,19,2,0.7654166666666666,0.7529166666666667
16,non_nested,0,0,1.0,1.0
16,non_nested,0,1,0.7875,0.7866666666666666
16,non_nested,0,2,1.0,1.0
16,non_nested,1,0,1.0,1.0
16,non_nested,1,1,1.0,1.0
16,non_nested,1,2,1.0,1.0
16,non_nested,2,0,1.0,0.9997916666666666
16,non_nested,2,1,0.981875,0.9777083333333333
16,non_nested,2,2,1.0,1.0
16,non_nested,3,0,1.0,1.0
16,non_nested,3,1,1.0,1.0
16,non_nested,3,2,1.0,1.0
16,non_nested,4,0,1.0,1.0
16,non_nested,4,1,1.0,1.0
16,non_nested,4,2,1.0,1.0
16,non_nested,5,0,1.0,1.0
16,non_nested,5,1,1.0,1.0
16,non_nested,5,2,1.0,1.0
16,non_nested,6,0,1.0,1.0
16,non_nested,6,1,0.9679166666666666,0.9752083333333333
16,non_nested,6,2,1.0,1.0
16,non_nested,7,0,1.0,1.0
16,non_nested,7,1,1.0,1.0
16,non_nested,7,2,0.99875,0.9977083333333333
16,non_nested,8,0,1.0,1.0
16,non_nested,8,1,1.0,1.0
16,non_nested,8,2,1.0,1.0
16,non_nested,9,0,1.0,1.0
16,non_nested,9,1,1.0,1.0
16,non_nested,9,2,1.0,1.0
16,non_nested,10,0,0.8029166666666666,0.8264583333333333
16,non_nested,10,1,0.9877083333333333,0.9897916666666666
16,non_nested,10,2,0.8377083333333334,0.8347916666666667
16,non_nested,11,0,1.0,1.0
16,non_nested,11,1,1.0,1.0
16,non_nested,11,2,1.0,1.0
16,non_nested,12,0,1.0,1.0
16,non_nested,12,1,1.0,1.0
16,non_nested,12,2,1.0,1.0
16,non_nested,13,0,1.0,1.0
16,non_nested,13,1,0.9947916666666666,0.9954166666666666
16,non_nested,13,2,1.0,1.0
16,non_nested,14,0,1.0,1.0
16,non_nested,14,1,1.0,1.0
16,non_nested,14,2,0.9970833333333333,0.99875
16,non_nested,15,0,0.7697916666666667,0.7575
16,non_nested,15,1,1.0,1.0
16,non_nested,15,2,0.9547916666666667,0.956875
16,non_nested,16,0,1.0,0.99625
16,non_nested,16,1,1.0,1.0
16,non_nested,16,2,1.0,1.0
16,non_nested,17,0,0.8447916666666667,0.831875
16,non_nested,17,1,0.9727083333333333,0.980625
16,non_nested,17,2,0.825,0.8066666666666666
16,non_nested,18,0,1.0,1.0
16,non_nested,18,1,1.0,1.0
