rho,nesting,seed,rotation_diversity,d_noise,min_cluster_size,dr_method,condition,h,c,v,ari,nmi,within_g_ari,coarse_ari,noise_frac,n_clusters,frag_ratio
1,nested,16,1.0,10,15,UMAP,flat_oracle_B,0.7345325056050921,0.9878949111091293,0.8425793938136135,0.6014439385974223,0.8425793938136135,0.9924085380934725,0.25648072127326454,0.08611111111111111,7,0.5833333333333334
1,nested,16,1.0,10,15,UMAP,oracle_conditional,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12,1.0
1,nested,17,1.0,10,15,UMAP,hierarchical,0.872000236021729,0.9049613214263373,0.8881750790462614,0.7692971851720879,0.8881750790462614,0.7175480613616161,1.0,0.13472222222222222,12,1.0
1,nested,17,1.0,10,15,UMAP,flat_full,0.7929649276795313,0.996434820864017,0.8831317499702582,0.6632678746134596,0.8831317499702582,0.5794266438921242,1.0,0.001388888888888889,8,0.6666666666666666
1,nested,17,1.0,10,15,UMAP,flat_oracle_B,0.7678163850362947,1.0,0.8686607857416491,0.5812957328871761,0.8686607857416491,0.7117246598992071,0.6421891182115582,0.005555555555555556,8,0.6666666666666666
1,nested,17,1.0,10,15,UMAP,oracle_conditional,0.8605349703463466,1.0,0.9250403610378302,0.7751097568504278,0.9250403610378304,0.7117246598992071,1.0,0.005555555555555556,9,0.75
1,nested,18,1.0,10,15,UMAP,hierarchical,0.9969944796341508,0.9427984431888395,0.9691393676176621,0.9459434321900004,0.9691393676176621,0.9292950960093681,1.0,0.04861111111111111,15,1.25
1,nested,18,1.0,10,15,UMAP,flat_full,0.9914293993666379,0.9914573428146598,0.991443370893755,0.9908458075330163,0.991443370893755,0.9888425212409239,1.0,0.002777777777777778,12,1.0
1,nested,18,1.0,10,15,UMAP,flat_oracle_B,0.7311915403826368,0.9999999999999998,0.8447263325016308,0.5779287329617847,0.8447263325016307,1.0,0.13698561586844102,0.006944444444444444,7,0.5833333333333334
1,nested,18,1.0,10,15,UMAP,oracle_conditional,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12,1.0
1,nested,19,1.0,10,15,UMAP,hierarchical,0.8932347539308836,0.7940956098945927,0.8407527202837168,0.6933604492060566,0.840752720283717,0.6262268578325206,1.0,0.2625,18,1.5
1,nested,19,1.0,10,15,UMAP,flat_full,0.8605285271744351,1.0000000000000002,0.9250366383592202,0.7751016578041914,0.9250366383592202,0.7117008443908324,1.0,0.0,9,0.75
